predicted	actual	model_calibration
0.17653019749999999	0.25	before
0.2506325962264151	0.16981132075471697	before
0.3547661675862069	0.22413793103448276	before
0.4545660061666667	0.2	before
0.550366911875	0.234375	before
0.6525155965384617	0.3076923076923077	before
0.7565915594999999	0.4125	before
0.8517895974193548	0.46774193548387094	before
0.9561892211363637	0.6636363636363637	before
0.3808501596428571	0.21428571428571427	after
0.45365749980132447	0.1986754966887417	after
0.5482307716883116	0.2727272727272727	after
0.6478746107065221	0.4782608695652174	after
0.7454395064827587	0.6206896551724138	after
0.8317224854716979	0.8301886792452831	after
0.9069859825	1.0	after
